tract,City,Community_Name,Detailed_Name,call_counts,crime_counts,shelter_counts,Land.Area,lat,long,Shape.Area,Shape.Length,totUnshelt2017,totShelt2017,totHomeless2017,totUnshelt2016,totShelt2016,totHomeless2016
238100,Los Angeles,South Vermont,Empowerment Congress Southwest NC,0,0,0,0.38,33.963628,-118.3111989,9.5958E-05,0.040838117,9.19,62,71.19,19,0,19
238200,Los Angeles,South Vermont,Empowerment Congress Southwest NC,2,1,0,0.4,33.9634958,-118.2979777,0.000100141,0.042495254,7.19,0,7.19,20,0,20
238310,Los Angeles,South Vermont,Empowerment Congress Southeast NC,1,0,0,0.15,33.9660436,-118.2861074,3.87324E-05,0.029213395,34.863,0,34.863,7,0,7
238320,Los Angeles,South Vermont,Empowerment Congress Southeast NC,2,0,1,0.18,33.9621528,-118.2861548,4.56767E-05,0.030214901,39.904,458,497.904,4,191,195
238400,Los Angeles,South Vermont,Empowerment Congress Southwest NC,1,0,0,0.5,33.9563491,-118.3089917,0.000126947,0.049510122,22.786,0,22.786,12,0,12
239201,Los Angeles,South Park,CANNDU NC,4,0,0,0.17,33.9857805,-118.2771699,4.3893E-05,0.026608515,88.163,0,88.163,65,0,65
239202,Los Angeles,South Park,CANNDU NC,3,0,0,0.49,33.9856783,-118.2649765,0.000124459,0.049431099,61.612,0,61.612,40,0,40
239310,Los Angeles,South Park,CANNDU NC,6,0,0,0.21,33.9785291,-118.2773062,5.21812E-05,0.028833273,28.165,0,28.165,30,0,30
239320,Los Angeles,South Park,CANNDU NC,0,0,0,0.13,33.9785676,-118.2717384,3.38606E-05,0.024221101,10.724,0,10.724,3,0,3
239330,Los Angeles,South Park,CANNDU NC,0,0,0,0.38,33.9783876,-118.2631029,9.55637E-05,0.041296725,17.065,0,17.065,29,0,29
239501,Los Angeles,South Park,CANNDU NC,1,0,0,0.18,33.9729857,-118.2628927,4.62613E-05,0.033446332,7.095,0,7.095,35,0,35
239502,Los Angeles,South Park,CANNDU NC,0,0,0,0.2,33.9693296,-118.2630441,4.98401E-05,0.034114156,3,0,3,11,0,11
239601,Los Angeles,South Park,CANNDU NC,2,0,0,0.16,33.9728371,-118.2752977,4.11933E-05,0.030094255,33.75,0,33.75,40,38,78
239602,Los Angeles,South Park,CANNDU NC,1,2,0,0.14,33.9694507,-118.2749023,3.49329E-05,0.029218794,50.962,0,50.962,31,0,31
239701,Los Angeles,South Park,CANNDU NC,1,0,0,0.16,33.966092,-118.2752632,3.99643E-05,0.029811722,33.309,19,52.309,4,24,28
239702,Los Angeles,South Park,CANNDU NC,3,1,0,0.19,33.962202,-118.2750006,4.74318E-05,0.031389718,62.31,0,62.31,20,0,20
239801,Los Angeles,South Park,CANNDU NC,0,0,0,0.14,33.9660533,-118.2629318,3.61663E-05,0.031747114,12.967,0,12.967,19,0,19
239802,Los Angeles,South Park,CANNDU NC,4,0,0,0.24,33.962408,-118.2629489,5.94466E-05,0.035286341,19.778,0,19.778,57,0,57
240010,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,2,0,0,0.23,33.9583159,-118.2637832,5.73943E-05,0.038817738,7.276,0,7.276,48,0,48
240020,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,2,0,0,0.28,33.9542444,-118.2638081,7.02058E-05,0.040566611,9.19,0,9.19,22,0,22
240200,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,0,0,1,0.29,33.9560337,-118.2761415,7.28402E-05,0.033940314,24,0,24,104,0,104
240300,Los Angeles,South Vermont,Empowerment Congress Southeast NC,2,0,0,0.31,33.9564095,-118.2861229,7.9348E-05,0.036676554,37.15,0,37.15,26,17,43
240401,Los Angeles,South Vermont,Empowerment Congress Southeast NC,1,0,0,0.27,33.949919,-118.2857119,6.76354E-05,0.035060122,17.133,25,42.133,34,0,34
240402,Los Angeles,South Vermont,Empowerment Congress Southeast NC,0,1,0,0.23,33.9446893,-118.2854788,5.864E-05,0.034605405,57.583,0,57.583,13,0,13
240500,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,1,2,0,0.31,33.9469248,-118.275663,7.91969E-05,0.036483922,29.722,24,53.722,11,22,33
240600,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,0,0,0,0.26,33.946945,-118.2684059,6.5913E-05,0.033219294,28.919,0,28.919,16,0,16
240700,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,2,0,0,0.46,33.9470153,-118.2593919,0.000116493,0.045029632,96.433,0,96.433,23,0,23
240800,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,0,1,2,0.24,33.9397052,-118.261893,6.22591E-05,0.042156238,25.771,0,25.771,29,0,29
240900,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,2,2,0,0.41,33.9346821,-118.2606543,0.000104376,0.044155915,43.683,0,43.683,0,0,0
241001,Los Angeles,Green Meadows,Harbor Gateway North NC,2,0,0,0.35,33.9296426,-118.2679732,8.84461E-05,0.058723578,76.403,0,76.403,17,0,17
241002,Los Angeles,Green Meadows,Harbor Gateway North NC,0,0,0,0.27,33.925262,-118.2614031,6.89612E-05,0.041082362,61.451,0,61.451,36,0,36
241110,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,0,0,1,0.19,33.936494,-118.2716976,4.74532E-05,0.030383416,13.586,0,13.586,3,110,113
241120,Los Angeles,Green Meadows,Empowerment Congress Southeast NC,0,0,0,0.26,33.9364442,-118.2768346,6.46827E-05,0.033892427,5.798,0,5.798,18,0,18
241201,Los Angeles,South Vermont,Empowerment Congress Southeast NC,0,0,0,0.19,33.9402403,-118.2858348,4.73838E-05,0.031922527,6.686,0,6.686,2,0,2
241202,Los Angeles,Green Meadows,Harbor Gateway North NC,1,0,0,0.45,33.9334324,-118.2857509,0.000113462,0.042389825,3.686,0,3.686,26,0,26
241300,Los Angeles,Harbor Gateway,Harbor Gateway North NC,2,0,0,0.2,33.9261331,-118.2862377,5.09081E-05,0.030917385,34.19,0,34.19,18,0,18
241400,Los Angeles,Green Meadows,Harbor Gateway North NC,1,1,0,0.22,33.92558,-118.2755609,5.60582E-05,0.0340634,81.366,0,81.366,11,0,11
242000,Los Angeles,Watts,Watts NC,0,0,0,0.25,33.9392821,-118.2502155,6.30668E-05,0.031553404,8.998,232,240.998,12,94,106
242100,Los Angeles,Watts,Watts NC,0,0,0,0.11,33.945396,-118.2336329,2.68945E-05,0.032615951,12.276,0,12.276,17,0,17
242200,Los Angeles,Watts,Watts NC,0,0,0,0.31,33.9486636,-118.2391843,7.93119E-05,0.038593564,9.711,0,9.711,13,0,13
242300,Los Angeles,Watts,Watts NC,3,1,0,0.24,33.948506,-118.2461145,6.14455E-05,0.033534511,12.579,0,12.579,16,0,16
242600,Los Angeles,Watts,Watts NC,1,0,0,0.18,33.932376,-118.2502423,4.64133E-05,0.027797756,97.022,0,97.022,46,0,46
