Area.Name,Victim.Age,Victim.Sex,Victim.Descent,latitude,longitude,CRIME DESCRIPTION SHORT,GENERAL DESCRIPTION,Hour,Weekday,Month,DayPartition
CENTRAL,32,M,H,34.0423,-118.2595,SIMPLE ASSAULT,ASSAULT,1,2,9,1
CENTRAL,38,F,B,34.0453,-118.2443,ROBBERY,THEFT,3,2,9,1
CENTRAL,29,M,H,34.0417,-118.2443,PETTY THEFT,THEFT,23,2,9,4
CENTRAL,30,F,B,34.0449,-118.2415,"RAPE, FORCIBLE",SEXUAL ASSAULT,23,2,9,4
RAMPART,51,M,W,34.0646,-118.2709,CRIMINAL THREATS,OTHER MISCELLANEOUS CRIME,14,2,9,3
77TH STREET,56,F,B,33.9746,-118.3003,SIMPLE ASSAULT,ASSAULT,14,2,9,3
NORTH HOLLYWOOD,29,M,W,34.1411,-118.372,AGGRAVATED ASSAULT,ASSAULT,3,2,9,1
OLYMPIC,38,M,B,34.0691,-118.2917,AGGRAVATED ASSAULT,ASSAULT,3,2,9,1
CENTRAL,47,F,B,34.0435,-118.2427,SIMPLE ASSAULT,ASSAULT,7,3,9,2
CENTRAL,19,F,B,34.0446,-118.245,CRIMINAL THREATS,OTHER MISCELLANEOUS CRIME,11,3,9,3
CENTRAL,33,M,H,34.0428,-118.2461,SIMPLE ASSAULT,ASSAULT,10,3,9,2
