Area.Name,Victim.Age,Victim.Sex,Victim.Descent,latitude,longitude,CRIME DESCRIPTION SHORT,GENERAL DESCRIPTION,Hour,Weekday,Month,DayPartition
OLYMPIC,56,M,W,34.0618,-118.2941,ROBBERY,THEFT,3,3,8,1
WILSHIRE,28,M,H,34.0592,-118.3575,BRANDISH WEAPON,OTHER MISCELLANEOUS CRIME,19,4,8,4
CENTRAL,32,F,W,34.0598,-118.2485,SIMPLE ASSAULT,ASSAULT,21,4,8,4
CENTRAL,49,M,B,34.0442,-118.2439,CRIMINAL HOMICIDE,CRIMINAL HOMICIDE,22,4,8,4
CENTRAL,48,F,B,34.046,-118.2509,"RAPE, FORCIBLE",SEXUAL ASSAULT,1,4,8,1
CENTRAL,28,M,B,34.0435,-118.2471,PETTY THEFT,THEFT,20,4,8,4
CENTRAL,32,M,B,34.0446,-118.245,PETTY THEFT,THEFT,23,4,8,4
HOLLENBECK,50,F,H,34.0529,-118.2133,PETTY THEFT,THEFT,23,4,8,4
HARBOR,45,F,W,33.7613,-118.2819,ORAL COPULATION,SEXUAL ASSAULT,21,4,8,4
WEST LA,58,M,W,34.0462,-118.4361,VANDALISM,VANDALISM,17,4,8,3
PACIFIC,38,F,H,33.9637,-118.3708,AGGRAVATED ASSAULT,ASSAULT,13,4,8,3
FOOTHILL,37,F,O,34.2157,-118.3878,PETTY THEFT,THEFT,0,4,8,1
CENTRAL,52,F,B,34.0421,-118.2469,"RAPE, FORCIBLE",SEXUAL ASSAULT,22,5,8,4
CENTRAL,36,F,W,34.0382,-118.2384,AGGRAVATED ASSAULT,ASSAULT,7,5,8,2
CENTRAL,48,F,B,34.0437,-118.2455,CRIMINAL THREATS,OTHER MISCELLANEOUS CRIME,11,5,8,3
CENTRAL,53,F,B,34.0502,-118.254,SIMPLE ASSAULT,ASSAULT,18,5,8,4
WEST VALLEY,42,M,W,34.2012,-118.5055,ROBBERY,THEFT,22,5,8,4
WEST VALLEY,23,M,H,34.2011,-118.5186,AGGRAVATED ASSAULT,ASSAULT,11,5,8,3
FOOTHILL,62,F,H,34.2157,-118.391,AGGRAVATED ASSAULT,ASSAULT,11,5,8,3
CENTRAL,63,M,B,34.0403,-118.2421,AGGRAVATED ASSAULT,ASSAULT,17,6,8,3
CENTRAL,55,M,B,34.0394,-118.2405,SIMPLE ASSAULT,ASSAULT,9,6,8,2
CENTRAL,30,M,B,34.0435,-118.2427,AGGRAVATED ASSAULT,ASSAULT,23,6,8,4
HARBOR,21,M,B,33.7361,-118.2923,AGGRAVATED ASSAULT,ASSAULT,13,6,8,3
77TH STREET,25,F,B,33.9863,-118.2881,AGGRAVATED ASSAULT,ASSAULT,1,6,8,1
NORTH HOLLYWOOD,28,F,B,34.1681,-118.379,GRAND THEFT,THEFT,11,6,8,3
NORTH HOLLYWOOD,40,M,B,34.2026,-118.4247,PETTY THEFT,THEFT,1,6,8,1
HOLLYWOOD,65,M,B,34.1016,-118.3361,SIMPLE ASSAULT,ASSAULT,3,7,8,1
77TH STREET,21,F,B,33.9656,-118.2673,AGGRAVATED ASSAULT,ASSAULT,21,7,8,4
77TH STREET,45,F,H,33.9891,-118.3193,AGGRAVATED ASSAULT,ASSAULT,22,7,8,4
PACIFIC,58,M,W,33.9933,-118.4765,AGGRAVATED ASSAULT,ASSAULT,14,7,8,3
NORTH HOLLYWOOD,53,M,H,34.167,-118.3759,AGGRAVATED ASSAULT,ASSAULT,19,7,8,4
